team,W/L,Strk,Home,Away,Day,Night,Div,Conf
Indiana,40-40,"
            W3",28-12,12-27,3-0,37-40,8-8,24-26
Philadelphia,28-52,"
            L6",17-23,11-29,3-3,25-49,7-8,19-31
,,,,,,,,
Brooklyn,20-60,"
            W1",13-28,7-32,2-5,18-55,3-12,11-39
Boston,51-29,"
            W1",28-11,23-18,4-4,47-25,10-5,34-16
,,,,,,,,
Cleveland,51-29,"
            L2",31-9,20-20,4-3,47-26,8-8,35-15
Miami,39-41,"
            W1",21-18,18-23,0-1,39-40,8-7,25-25
,,,,,,,,
Orlando,28-52,"
            L1",15-25,13-27,0-3,28-49,7-9,19-31
Chicago,39-41,"
            L1",23-16,16-25,4-5,35-36,9-7,26-24
,,,,,,,,
Charlotte,36-44,"
            L3",22-19,14-25,3-2,33-42,10-5,22-28
Milwaukee,41-39,"
            W1",22-18,19-21,2-5,39-34,10-6,26-24
,,,,,,,,
Washington,48-32,"
            L1",30-11,18-21,5-2,43-30,8-7,31-19
Detroit,37-43,"
            W2",24-16,13-27,3-0,34-43,5-11,21-29
,,,,,,,,
Charlotte,36-44,"
            L3",22-19,14-25,3-2,33-42,10-5,22-28
Atlanta,42-38,"
            W3",22-18,20-20,5-4,37-34,5-10,29-21
,,,,,,,,
Oklahoma City,46-34,"
            W1",28-12,18-22,6-3,40-31,9-5,28-22
Minnesota,31-49,"
            L4",20-20,11-29,1-3,30-46,5-10,18-32
,,,,,,,,
Denver,38-42,"
            L1",22-19,16-23,2-2,36-40,5-10,22-28
Dallas,32-48,"
            L4",21-19,10-29,5-1,27-47,4-11,18-32
,,,,,,,,
New Orleans,33-47,"
            L4",21-20,12-27,1-4,32-43,6-10,19-31
L.A. Lakers,25-55,"
            W4",16-24,9-31,1-4,24-51,6-9,15-35
,,,,,,,,
Phoenix,24-57,"
            W2",15-26,9-31,3-7,21-50,3-12,11-40
Sacramento,31-49,"
            L2",16-24,15-25,1-6,30-43,6-8,20-30
,,,,,,,,
Detroit,36-43,"
            W1",24-16,12-27,2-0,34-43,5-11,21-29
Memphis,43-37,"
            W1",24-15,19-22,2-4,41-33,8-7,28-23
,,,,,,,,
Minnesota,31-48,"
            L3",20-20,11-28,1-3,30-45,5-10,18-31
L.A. Lakers,24-55,"
            W3",15-24,9-31,1-4,23-51,6-9,14-35
,,,,,,,,
San Antonio,61-19,"
            L1",31-10,30-8,4-2,57-17,11-5,36-14
Portland,40-40,"
            W2",24-15,16-25,3-2,37-38,11-5,27-23
,,,,,,,,
Houston,54-26,"
            W1",29-11,25-15,3-0,51-26,10-6,35-15
L.A. Clippers,49-31,"
            W5",27-12,22-19,8-4,41-27,9-6,29-21
,,,,,,,,
Utah,49-31,"
            L1",28-12,21-19,4-5,45-26,8-8,29-21
Golden State,66-14,"
            W14",35-4,31-10,8-1,58-13,13-2,41-9
,,,,,,,,
New Orleans,33-46,"
            L3",21-20,12-26,1-4,32-42,6-10,19-30
Golden State,65-14,"
            W13",34-4,31-10,8-1,57-13,13-2,40-9
,,,,,,,,
Golden State,64-14,"
            W12",34-4,30-10,8-1,56-13,12-2,39-9
Phoenix,22-56,"
            L12",12-24,9-31,2-7,20-49,3-11,9-39
,,,,,,,,
Dallas,32-45,"
            L1",21-18,10-27,5-0,27-45,4-10,18-29
L.A. Clippers,47-31,"
            W3",26-12,21-19,8-4,39-27,9-6,27-21
,,,,,,,,
Denver,30-35,"
            W1",18-16,12-19,2-1,28-34,5-8,17-22
Sacramento,25-40,"
            L7",13-20,12-20,0-4,25-36,4-6,15-22
,,,,,,,,
Toronto,9-6,"
            W1",4-3,5-3,0-0,9-6,1-0,5-2
Milwaukee,6-7,"
            W1",5-3,1-4,0-0,6-7,1-1,3-4
,,,,,,,,
Miami,4-10,"
            L2",2-5,2-5,0-0,4-10,2-2,3-6
Memphis,10-5,"
            W6",5-2,5-3,0-1,10-4,2-0,7-3
,,,,,,,,
Brooklyn,4-10,"
            L5",3-4,1-6,0-1,4-9,0-3,2-6
Indiana,7-9,"
            L2",6-4,1-5,0-0,7-9,2-2,4-7
,,,,,,,,
Oklahoma City,8-8,"
            L3",6-4,2-4,1-0,7-8,1-0,5-4
Denver,6-9,"
            L1",3-4,3-5,0-0,6-9,2-3,4-5
,,,,,,,,
Minnesota,4-10,"
            L3",3-4,1-6,0-1,4-9,0-2,2-7
Phoenix,5-11,"
            W1",2-3,3-8,0-2,5-9,0-5,2-8
,,,,,,,,
New Orleans,6-10,"
            W4",4-5,2-5,0-0,6-10,0-2,2-8
Portland,8-9,"
            L2",4-3,4-6,2-0,6-9,3-0,7-6
,,,,,,,,
Golden State,13-2,"
            W9",5-1,8-1,2-0,11-2,3-1,9-2
L.A. Lakers,8-8,"
            L1",5-3,3-5,0-0,8-8,3-1,6-6
